filename,size,time
133696.svg,29993,39.90914799942402
1354.svg,40172,72.98204299877398
197418.svg,21428,57.89791000097466
58714.svg,27972,53.27792100069928
6312.svg,18019,46.113370000966825
136306.svg,19467,51.18206399856717
100140.svg,15014,23.59733299999789
102182.svg,37524,56.297876999451546
102295.svg,22930,47.40216700156452
117041.svg,41153,69.56227400041826
131552.svg,14595,30.69558899915137
177223.svg,16262,16.8706469994504
138483.svg,13317,26.914640000541112
123134.svg,41569,97.23100399969553
16476.svg,12466,17.850611999165267
129784.svg,18786,24.589111000750563
124297.svg,19580,40.24810600094497
13811.svg,12394,17.29339300072752
4542.svg,17809,38.10316800081637
200670.svg,38112,154.32341700034158
188411.svg,21185,54.731206999349524
11904.svg,19982,42.761648999658064
98138.svg,16986,18.021984998995322
11272.svg,22176,64.9364639994019
13978.svg,38883,72.61603400002059
72153.svg,45957,56.34988499878091
149155.svg,18925,25.16954299971985
124952.svg,30445,89.74488700005168
92023.svg,14675,33.533683001223835
39409.svg,19112,19.016357000509743
158458.svg,17003,14.390887001354713
15480.svg,23158,46.631676001197775
44521.svg,38714,95.10416899865959
77197.svg,22282,320.9354619993974
27122.svg,35158,51.237798999864026
200015.svg,40013,73.55099399865139
64526.svg,18907,49.457646999144345
99932.svg,26540,25.89407800041954
101457.svg,41565,82.75797100031923
186956.svg,29310,100.21605399924738
108780.svg,23496,66.66107100136287
154346.svg,19473,27.032081001379993
101002.svg,15027,18.44684500065341
23843.svg,11974,18.029359000138356
69698.svg,24404,52.53709600037837
106594.svg,23177,56.543279000834445
37621.svg,10240,17.811438001444913
163583.svg,12691,17.022181998981978
155317.svg,30678,23.284164000870078
167109.svg,24197,24.093848000120488
20030.svg,10466,16.465815000628936
99622.svg,45402,126.03756499993324
57229.svg,15797,31.912750999254058
176425.svg,18996,40.38184799901501
158385.svg,14802,35.3753509989474
89483.svg,43167,182.88307399961923
113358.svg,14570,6.7337390009925
115292.svg,10425,12.496540999563877
68542.svg,10482,20.30256900070526
191491.svg,31254,96.13804499895195
102749.svg,12353,16.107460000057472
22472.svg,26270,47.28399499981606
118046.svg,33828,82.2412979996443
85114.svg,44108,5.020192000301904
64361.svg,18845,23.079688000507304
163636.svg,10247,13.068407000901061
6659.svg,27319,91.26595099951373
40184.svg,18963,50.15766500036989
128656.svg,17413,56.75219299882883
18097.svg,24991,43.41823499999009
175207.svg,21425,64.58017300064967
181997.svg,46231,162.8632470001321
23834.svg,18298,45.200431000921526
30733.svg,22483,36.27822099952027
85659.svg,10748,29.04495000075258
86325.svg,41077,72.10895900061587
83154.svg,40206,81.10669100096857
181354.svg,49119,48.613737999403384
