,filename,size,parse_time,reify_time,mask_time,serialize_time
385,194630.svg,44091,446.60933100021794,102.87124299975403,672.709421000036,69.159129000127
386,7197.svg,31703,184.64382899992415,55.21292100002029,641.0771119999481,56.59566599979371
387,17101.svg,39879,102.500905999932,190.2160639997419,687.4214499998743,71.38351800040255
388,33960.svg,22098,38.4675119998974,145.77281699985178,543.2988210000076,23.462329999802023
389,61410.svg,25780,66.8137409998053,353.3684250000988,621.0831540001891,44.363095999869984
390,161994.svg,39592,129.07422499984023,267.3465660000147,1066.4411879997715,89.23769500006529
391,97335.svg,19293,27.195931999813183,88.39003900038733,545.3443139999763,17.31259799998952
392,11406.svg,41851,172.36690499976248,86.85759199988752,705.4555869999604,82.80041099988011
393,132175.svg,24034,94.12837699983356,28.763525000158552,603.6547290000271,50.482853000175965
394,89431.svg,11991,21.008247999816376,74.01521400015554,508.05398800002877,13.853693000328349
395,185025.svg,15037,38.57282100034354,65.85527499964883,551.9151990001774,24.70270599997093
396,91648.svg,39447,104.9161460000505,235.42357999986052,706.042411999988,70.94338900014918
397,131996.svg,21738,38.322829000208,112.00029799965705,558.7351849999322,25.57624200017017
398,45012.svg,49846,60.2573820001453,343.26924400011194,612.4617160003254,41.71736299986151
399,103867.svg,36648,93.01401799984887,437.81586899967806,621.5296659997875,47.51967199990759
400,1432.svg,31280,52.34294599995337,72.81104699995922,599.2141950000587,44.01605200018821
401,114441.svg,21640,42.894248999800766,214.3670209998163,566.3343579999491,29.32145600016156
402,197882.svg,49536,57.38917000007859,33.19673400028478,606.4621870000337,50.76598499999818
403,60058.svg,44401,106.41745300017647,84.21751099967878,653.819773000123,66.71583700017436
404,97890.svg,21362,39.479296999616054,260.4867060003926,546.2415530000726,25.565040999936173
405,46074.svg,45875,107.55900300000576,37.688654999783466,622.9196029999002,58.8861100000031
406,12577.svg,16275,29.20622800002093,126.5560629999527,526.7285509999056,18.620590999944397
407,84934.svg,35778,61.52766500008511,131.3870220001263,584.9436370003787,40.31137500032855
408,49998.svg,36728,71.66177199997037,64.0095690000635,631.6010549999191,53.41934300031426
409,46197.svg,46647,105.40493600001355,35.620911000023625,626.2645239999074,58.437253999727545
410,3592.svg,36583,105.76246900018305,151.68064399995274,688.1596200000786,84.41249700035769
411,147679.svg,32056,93.09775600013381,64.15152599993235,617.9236539996964,51.05622300015966
412,184439.svg,29080,57.5019620000603,54.54374100008863,567.6204700002927,36.40442599999005
413,132066.svg,15259,47.3859089997859,63.73601400036932,549.1060590002235,27.885741000318376
414,80389.svg,44490,120.49526800001331,84.7734069998296,674.1188949999923,76.59893100026238
415,107025.svg,45386,97.09940299990194,36.36636400005955,618.2689540000865,56.755186000373214
416,10662.svg,18572,48.50078900017252,255.8286829998906,585.9520359999806,33.594655000342755
417,55041.svg,36313,56.123967000075936,181.82272500007457,588.3728059998248,40.32488099983311
418,113280.svg,14986,37.5528290001057,169.42591699989862,571.964301999742,22.581190999972023
419,1630.svg,20105,57.266588999937085,82.88056299988966,579.2444429998795,35.791812000297796
420,5175.svg,11912,32.115448000240576,203.1361790000119,553.5971880003672,21.29577000005156
421,135025.svg,23505,75.12787999985449,198.14726200002042,571.6023489999316,35.68863800001054
422,62938.svg,19277,30.790592999892397,91.7768080003043,554.0147940000679,20.409501000358432
423,102777.svg,45825,95.84833700000672,145.3550199998972,654.7204789999341,59.92946500009566
424,36807.svg,40152,128.81548799987286,118.0768630001694,688.4372630001963,80.84743299968977
425,62929.svg,23874,39.83438599971123,135.6152859998474,564.089850000073,24.993874999836407
426,58426.svg,48655,94.58165999967605,99.62285599976894,639.3237400002363,62.91118099989035
427,176119.svg,16166,53.79492100018979,37.61579799993342,548.981824999828,27.95552299994597
428,174040.svg,38528,107.96366499971555,143.89821599979769,665.7106289999319,65.29892799972004
429,132571.svg,39039,117.76235100023769,209.57285199983744,687.9378919998089,73.77626399966175
430,2335.svg,30059,92.30320899996514,118.18506699955833,648.4144219998598,61.767585999859875
431,141711.svg,42919,115.26443599996128,37.880977999975585,648.8881739996941,66.46638700021867
432,131826.svg,48417,152.6213160000225,373.0615360000229,696.7640060001941,74.10679699978573
433,5114.svg,17882,36.353009000322345,193.69887399989238,585.2761330002068,24.96944899985465
434,198589.svg,49464,86.57096300021294,199.7255139999652,627.0098270001654,56.97667399999773
435,14731.svg,39621,88.09973200004606,109.01558599971395,622.1853709998868,55.90437400041992
436,73314.svg,31010,58.666725999955815,209.3408650002857,586.0324079999373,37.58287599976029
437,10618.svg,39214,457.0398959999693,136.69993899975452,720.9862179997799,90.1669459999539
438,167780.svg,49769,112.90500199993403,244.1310600001998,702.221916000326,69.92140400006974
439,14540.svg,25050,67.72802299974501,69.08665099990685,593.0552849999913,43.13744699993549
440,185550.svg,27559,65.36216600034095,211.7770439999731,595.4218820002097,42.510006000156864
441,197393.svg,23661,34.17963600031726,194.32803900008366,541.0148689998096,21.77690500002427
442,189850.svg,41289,109.1065380001055,110.5362809998951,654.110479999872,66.53218000019478
443,117711.svg,38427,94.24665000005916,81.79333399993993,931.8528170001628,59.06055800005561
444,118438.svg,18124,54.32150299975547,17.82293899987053,546.8687239999781,30.841258999771526
445,88881.svg,33198,59.5814190000965,264.1358690002562,586.516710000069,40.09587900009137
446,10776.svg,19521,96.59580400011691,57.4410680001165,579.7663160001321,40.9386070000437
447,192387.svg,25289,44.169170999794005,141.34328500040283,557.9025160000128,28.208439000081853
448,82011.svg,36957,67.69988999985799,193.53999399982058,612.4956700000439,45.98583300003156
449,30259.svg,10111,20.85669300004156,50.98301399993943,505.4706230002921,12.882373000138614
450,145300.svg,18910,38.04166999998415,127.2916279999663,539.0683030000218,20.402086000103736
451,4290.svg,25323,75.2459129998897,122.43767700010721,629.0213759998551,51.1044929999116
452,11874.svg,34406,104.99361100028182,150.43829400019604,667.9822570004035,67.15464299986706
453,177366.svg,32752,60.47964099980163,92.70667900000262,617.2925350001606,46.91352999998344
454,20640.svg,14165,25.133547999757866,81.3466330000665,532.4950419999368,15.499864000048547
455,68184.svg,42156,61.65653800007931,137.98154300002352,608.3288920003724,41.656227999737894
456,25612.svg,39284,60.81602499989458,239.04840799968952,922.838979000062,40.00120099999549
457,19549.svg,14435,17.15368800023498,77.69141900007526,514.6496620000107,12.183387000277435
458,189176.svg,18755,41.41947200014329,155.9689509999771,547.3473759998342,25.512201000310597
459,13581.svg,21434,30.26615499993568,279.68632800002524,535.2855180003644,20.305555000049935
460,184389.svg,23023,70.63822400004938,35.6432529997619,581.6021440000441,38.89742199999091
461,92297.svg,12052,30.82532899998114,118.89310100013972,529.2626049999853,20.617752999896766
462,188660.svg,47053,134.82581900007062,109.54901100012648,689.6921760003352,75.64889200011748
463,31516.svg,41137,98.70997600000919,143.11154500001066,662.0909010002833,61.58989200002907
464,64780.svg,25195,39.669676999892545,388.2182530001046,557.6195130001906,28.405910999936168
465,27906.svg,43335,74.17021699984616,240.61383600019326,628.6038500002178,51.39743500012628
466,113987.svg,36137,505.11491299994304,166.09231800021007,811.7152619997796,123.50546800007578
467,108507.svg,10186,48.96273900021697,77.61038599983294,553.1445249998796,23.565805000089313
468,201181.svg,45214,60.3041099998336,61.25516200017955,607.5557060003121,50.789500000064436
469,143171.svg,43386,120.50374399996144,129.6790249998594,690.776028000073,74.39521000014793
470,76673.svg,47198,146.1111339999661,544.5130170000994,753.7732109999524,81.70898500020485
471,31507.svg,12622,43.50548100001106,150.9878789997856,552.6264589998391,28.7548279998191
472,164526.svg,16011,23.084949000349297,149.53383100009887,512.3923699998159,14.344467000228178
473,73144.svg,31887,65.78718699984165,144.3793230000665,636.0144170002968,51.90247599966824
474,140749.svg,32286,138.90020300004835,422.4003040003481,682.8821700000844,74.66408599975694
475,36172.svg,12869,33.459328999924765,52.18310500004009,531.3264719998188,22.53435200009335
476,163672.svg,13650,20.540316999813513,61.956062000263046,512.5327249998008,14.161613000396756
477,70383.svg,23627,66.60140099984346,21.768149999843445,576.966973999788,36.9698409999728
478,52077.svg,26559,69.58505099964896,86.23410900008821,590.771924999899,42.901914000140096
479,17301.svg,35696,73.91742099980547,271.98272800023915,617.9640199998175,48.216563999631035
480,185843.svg,34589,114.00573500031896,223.38628899979085,658.5230509999747,66.24925799997072
481,29012.svg,10930,16.945375999966927,115.61978599957001,500.2047450002465,11.359435000031226
482,189679.svg,35573,80.36033600001247,512.9127499999413,663.2208390001324,68.43938300016816
483,56487.svg,29687,85.55910700033564,128.09230599987131,952.6558980001028,52.548923999893304
484,151527.svg,29730,82.05588900000294,73.78792700001213,609.605356999964,48.45620500009318
485,92248.svg,16402,43.24228499990568,134.92613800008257,563.3661669999128,29.242367000279046
486,4128.svg,38146,92.46931200004838,217.5104619996091,658.7382660000003,58.743660999880376
487,10686.svg,14441,35.57053500026086,71.57541000015044,564.2482680000285,23.406424000313564
488,139830.svg,16535,35.802271999727964,90.84098499988613,559.7494849998839,18.557722000423382
489,100372.svg,23368,33.18664600010379,126.6945739998846,550.5083600000944,23.368362999917736
490,108738.svg,36515,244.69632499994987,217.7492109999548,848.0081190000419,123.77207000008639
491,180500.svg,31054,37.46561500020107,57.28653699998176,606.9878469998002,23.97499600010633
492,76977.svg,28006,38.678419000007125,202.79841299998225,544.7660840000026,25.082671999825834
493,108893.svg,14778,35.86126399977729,13.334134000160702,837.2645840004225,20.758808000209683
494,176318.svg,21819,36.98792500017589,102.83321199995044,540.3713069999867,24.804538999887882
495,162172.svg,16370,49.63405300031809,64.84694700020555,555.2677740001855,28.99754500003837
496,105572.svg,47979,174.17864800017924,305.0230889998602,860.99041999978,122.38969600002747
497,179419.svg,15169,45.526397000230645,17.565724000178307,542.3176630001763,26.60121300004903
498,168304.svg,40551,112.86252199988667,41.14964400014287,646.3684790001025,66.45451499980481
499,157590.svg,26817,156.44066000004386,69.58315700012463,613.6928349997106,51.268941999751405
500,196344.svg,19391,42.64315699992949,191.18806500000574,547.1651630000451,26.029114999801095
501,184212.svg,25652,37.449684999955934,101.72635700018873,541.2959780001074,23.466608000035194
